"pattern"	"genecount"	"genelen"	"nhits"	"sample"
"543"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NCCA"	4	233	292815	"T59"
"544"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NCZA"	3	170	292815	"T59"
"545"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|PITA"	127	151	292815	"T59"
"546"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNA"	38	151	292815	"T59"
"547"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RCNB"	7	152	292815	"T59"
"548"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RECGM"	14	159	292815	"T59"
"549"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YFEC"	13	159	292815	"T59"
"550"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YGJH"	62	151	292815	"T59"
"551"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZINT"	14	159	292815	"T59"
"552"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZNTA"	200	150	292815	"T59"
"553"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADX"	6	152	292815	"T59"
"554"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|IRLR"	30	151	292815	"T59"
"555"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA"	373	150	292815	"T59"
"556"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|PCOE"	9	156	292815	"T59"
"557"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|RCNR"	16	151	292815	"T59"
"558"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|ZRAS"	132	150	292815	"T59"
"559"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSA"	173	150	292815	"T59"
"560"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSB"	88	150	292815	"T59"
"561"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC"	261	150	292815	"T59"
"562"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSF"	24	153	292815	"T59"
"563"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCA"	18	183	292815	"T59"
"564"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCB"	6	162	292815	"T59"
"565"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCP"	84	152	292815	"T59"
"566"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZRA"	2	162	292815	"T59"
"567"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILA"	165	150	292815	"T59"
"568"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILB"	65	150	292815	"T59"
"569"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILC"	132	150	292815	"T59"
"570"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILE"	25	153	292815	"T59"
"571"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILF"	45	152	292815	"T59"
"572"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILP"	178	150	292815	"T59"
"573"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSR"	35	150	292815	"T59"
"574"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CUSS"	77	150	292815	"T59"
"575"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCCM"	3	236	292815	"T59"
"576"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCD"	2	201	292815	"T59"
"577"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCR"	10	160	292815	"T59"
"578"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|CZCS"	8	154	292815	"T59"
"579"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILR"	36	150	292815	"T59"
"580"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILS"	148	150	292815	"T59"
"581"	"Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKA"	102	150	292815	"T59"
"582"	"Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKB"	230	150	292815	"T59"
"583"	"Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKC"	79	150	292815	"T59"
"584"	"Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKD"	189	150	292815	"T59"
"585"	"Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKE"	182	150	292815	"T59"
"586"	"Metals|Nickel_resistance|Nickel_ABC_efflux_regulator|NIKR"	76	151	292815	"T59"
"587"	"Metals|Sodium_resistance|Sodium_resistance_protein|CHAA"	41	150	292815	"T59"
"588"	"Metals|Sodium_resistance|Sodium_resistance_protein|NHAA"	60	151	292815	"T59"
"589"	"Metals|Sodium_resistance|Sodium_resistance_protein|NHAB"	170	151	292815	"T59"
"590"	"Metals|Tellurium_resistance|Tellurium_resistance_protein|TERD"	12	155	292815	"T59"
"591"	"Metals|Tellurium_resistance|Tellurium_resistance_protein|TERE"	9	180	292815	"T59"
"592"	"Metals|Tellurium_resistance|Tellurium_resistance_protein|TERW"	13	150	292815	"T59"
"593"	"Metals|Tellurium_resistance|Tellurium_resistance_protein|TERZ"	40	152	292815	"T59"
"594"	"Metals|Zinc_resistance|Zinc_resistance_protein|ZITB"	34	150	292815	"T59"
"595"	"Metals|Zinc_resistance|Zinc_resistance_protein|ZNUA"	90	150	292815	"T59"
"596"	"Metals|Zinc_resistance|Zinc_resistance_protein|ZNUB"	72	151	292815	"T59"
"597"	"Metals|Zinc_resistance|Zinc_resistance_protein|ZNUC"	38	151	292815	"T59"
"598"	"Metals|Zinc_resistance|Zinc_resistance_regulator|ZNTR"	20	153	292815	"T59"
"599"	"Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR"	244	150	292815	"T59"
"600"	"Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR"	79	150	292815	"T59"
"601"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETA"	26	151	292815	"T59"
"602"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB"	83	150	292815	"T59"
"603"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|SITB"	15	157	292815	"T59"
"604"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP"	20	162	292815	"T59"
"605"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|CUID"	64	154	292815	"T59"
"606"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF"	189	150	292815	"T59"
"607"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|RUVB"	1	254	292815	"T59"
"608"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHA"	66	150	292815	"T59"
"609"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|TEHB"	23	150	292815	"T59"
"610"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YCHH"	10	163	292815	"T59"
"611"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW"	35	156	292815	"T59"
"612"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YHCN"	38	150	292815	"T59"
"613"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YIEF"	53	150	292815	"T59"
"614"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YODB"	15	153	292815	"T59"
"615"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT"	79	150	292815	"T59"
"616"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS"	33	151	292815	"T59"
"617"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ACRD"	589	150	292815	"T59"
"618"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|GESB"	5	158	292815	"T59"
"619"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA"	63	150	292815	"T59"
"620"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTB"	188	150	292815	"T59"
"621"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTC"	246	150	292815	"T59"
"622"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA"	54	151	292815	"T59"
"623"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER"	49	150	292815	"T59"
"624"	"Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES"	162	150	292815	"T59"
"625"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|EFRB"	1	207	292815	"T59"
"626"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|YOGI"	112	150	292815	"T59"
"627"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_regulator|PHOB|RequiresSNPConfirmation"	12	165	292815	"T59"
"628"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|BEXA"	25	150	292815	"T59"
"629"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK"	180	150	292815	"T59"
"630"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR"	173	150	292815	"T59"
"631"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA"	156	150	292815	"T59"
"632"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB"	247	150	292815	"T59"
"633"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD"	202	151	292815	"T59"
"634"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK"	90	152	292815	"T59"
"635"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY"	74	150	292815	"T59"
"636"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KDEA"	12	153	292815	"T59"
"637"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KMRA"	27	151	292815	"T59"
"638"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|KPN"	141	150	292815	"T59"
"639"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA"	308	150	292815	"T59"
"640"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG"	124	150	292815	"T59"
"641"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH"	61	150	292815	"T59"
"642"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM"	130	151	292815	"T59"
"643"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR"	36	151	292815	"T59"
"644"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS"	272	151	292815	"T59"
"645"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRA"	90	150	292815	"T59"
"646"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB"	178	150	292815	"T59"
"647"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRE"	76	151	292815	"T59"
"648"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF"	364	150	292815	"T59"
"649"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AMRB"	10	160	292815	"T59"
"650"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY"	27	150	292815	"T59"
"651"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPE"	2	180	292815	"T59"
"652"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|CEOB"	23	170	292815	"T59"
"653"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|EMHC"	3	170	292815	"T59"
"654"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTE"	104	150	292815	"T59"
"655"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF"	182	150	292815	"T59"
"656"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTN"	85	150	292815	"T59"
"657"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTO"	167	150	292815	"T59"
"658"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTP"	152	150	292815	"T59"
"659"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXB"	24	151	292815	"T59"
"660"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXD"	14	151	292815	"T59"
"661"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXF"	61	150	292815	"T59"
"662"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXI"	7	150	292815	"T59"
"663"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXK"	11	159	292815	"T59"
"664"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXN"	10	165	292815	"T59"
"665"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXQ"	12	168	292815	"T59"
"666"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXY"	4	169	292815	"T59"
"667"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA"	156	159	292815	"T59"
"668"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB"	1886	151	292815	"T59"
"669"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEB"	34	150	292815	"T59"
"670"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEX"	1	166	292815	"T59"
"671"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEY"	66	150	292815	"T59"
"672"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME"	75	151	292815	"T59"
"673"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|TTGB"	2	160	292815	"T59"
"674"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation"	46	152	292815	"T59"
"675"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRS"	38	155	292815	"T59"
"676"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR"	504	150	292815	"T59"
"677"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP"	43	150	292815	"T59"
"678"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW"	76	151	292815	"T59"
"679"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX"	33	151	292815	"T59"
"680"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA"	18	155	292815	"T59"
"681"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR"	23	150	292815	"T59"
"682"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNE"	5	164	292815	"T59"
"683"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNF"	3	198	292815	"T59"
"684"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNO"	50	150	292815	"T59"
"685"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTI"	21	155	292815	"T59"
"686"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MDTJ"	22	155	292815	"T59"
"687"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MVRC"	15	165	292815	"T59"
"688"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_regulator|PHOR"	12	156	292815	"T59"
"689"	"Biocides|Acid_resistance|Acid_resistance_protein|YDEP"	2	290	1118	"T58"
"690"	"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation"	2	290	1118	"T58"
"691"	"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation"	4	287	1118	"T58"
"692"	"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6"	8	290	1118	"T58"
"693"	"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9"	2	290	1118	"T58"
"694"	"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME"	2	282	1118	"T58"
"695"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation"	238	268	1118	"T58"
"696"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation"	29	268	1118	"T58"
"697"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation"	18	268	1118	"T58"
"698"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSH|RequiresSNPConfirmation"	18	268	1118	"T58"
"699"	"Drugs|betalactams|Mutant_porin_proteins|OMPR"	2	279	1118	"T58"
"700"	"Drugs|Cationic_antimicrobial_peptides|Cationic_peptide-resistant_16S_ribosomal_subunit_protein|CAP16S|RequiresSNPConfirmation"	18	268	1118	"T58"
"701"	"Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation"	15	263	1118	"T58"
"702"	"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation"	8	289	1118	"T58"
"703"	"Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation"	2	290	1118	"T58"
"704"	"Drugs|MLS|23S_rRNA_methyltransferases|ERMB"	36	287	1118	"T58"
"705"	"Drugs|MLS|Macrolide-resistant_23S_rRNA_mutation|MLS23S|RequiresSNPConfirmation"	214	282	1118	"T58"
"706"	"Drugs|MLS|MLS_resistance_ABC_efflux_pumps|OLEB"	6	288	1118	"T58"
"707"	"Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFA"	18	290	1118	"T58"
"708"	"Drugs|Multi-drug_resistance|MDR_23S_rRNA_mutation|MDR23S|RequiresSNPConfirmation"	8	287	1118	"T58"
"709"	"Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|MUXB"	2	286	1118	"T58"
"710"	"Drugs|Oxazolidinone|Oxazolidinone-resistant_23S_rRNA_mutation|O23S|RequiresSNPConfirmation"	23	282	1118	"T58"
"711"	"Drugs|Phenicol|Phenicol-resistant_23S_rRNA_mutation|PH23S|RequiresSNPConfirmation"	32	282	1118	"T58"
"712"	"Drugs|Pleuromutilin|Pleuromutilin-resistant_23S_rRNA_mutation|P23S|RequiresSNPConfirmation"	8	282	1118	"T58"
"713"	"Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation"	70	276	1118	"T58"
"714"	"Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation"	8	287	1118	"T58"
"715"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO"	14	290	1118	"T58"
"716"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ"	14	283	1118	"T58"
"717"	"Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW"	74	290	1118	"T58"
"718"	"Drugs|Tetracyclines|Tetracycline-resistant_16S_ribosomal_subunit_protein|TET16S|RequiresSNPConfirmation"	50	268	1118	"T58"
"719"	"Metals|Copper_resistance|Copper_resistance_protein|ACTPC"	4	288	1118	"T58"
"720"	"Metals|Copper_resistance|Copper_resistance_protein|COPA"	2	290	1118	"T58"
"721"	"Metals|Copper_resistance|Copper_resistance_protein|CTPV"	4	290	1118	"T58"
"722"	"Metals|Multi-metal_resistance|Multi-metal_resistance_protein|NCZA"	2	288	1118	"T58"
"723"	"Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA"	4	288	1118	"T58"
"724"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCB"	4	287	1118	"T58"
"725"	"Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCP"	2	290	1118	"T58"
"726"	"Metals|Sodium_resistance|Sodium_resistance_protein|CHAA"	4	284	1118	"T58"
"727"	"Metals|Zinc_resistance|Zinc_resistance_regulator|ZRAR"	4	274	1118	"T58"
"728"	"Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ACTP"	8	290	1118	"T58"
"729"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB"	2	284	1118	"T58"
"730"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AMRB"	5	284	1118	"T58"
"731"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPE"	4	287	1118	"T58"
"732"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|CEOB"	8	284	1118	"T58"
"733"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MDTF"	2	284	1118	"T58"
"734"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXB"	4	284	1118	"T58"
"735"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXD"	2	284	1118	"T58"
"736"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXF"	16	266	1118	"T58"
"737"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXI"	2	284	1118	"T58"
"738"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXQ"	6	266	1118	"T58"
"739"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB"	68	284	1118	"T58"
"740"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SDEB"	6	268	1118	"T58"
"741"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|SME"	8	284	1118	"T58"
"742"	"Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR"	2	282	1118	"T58"
"743"	"Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR"	2	181	25577	"T48"
"744"	"Biocides|Biguanide_resistance|Biguanide_cation_efflux|CEPAB"	2	201	25577	"T48"
"745"	"Biocides|Multi-biocide_resistance|Multi-biocide_ABC_efflux_pump|SMRA"	10	153	25577	"T48"
"746"	"Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|RPOS"	2	257	25577	"T48"
"747"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHB"	3	159	25577	"T48"
"748"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|MEXW"	11	166	25577	"T48"
"749"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|SRPB"	4	186	25577	"T48"
"750"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TBTB"	4	193	25577	"T48"
"751"	"Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TTGE"	2	165	25577	"T48"
"752"	"Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA"	1	172	25577	"T48"
"753"	"Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI"	1	193	25577	"T48"
"754"	"Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIC"	7	197	25577	"T48"
"755"	"Drugs|Aminocoumarins|Aminocoumarin_efflux_pump|NOVA"	5	154	25577	"T48"
"756"	"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation"	29	178	25577	"T48"
"757"	"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation"	23	151	25577	"T48"
"758"	"Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARY"	14	177	25577	"T48"
"759"	"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3"	28	157	25577	"T48"
"760"	"Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME"	12	152	25577	"T48"
"761"	"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME"	2	152	25577	"T48"
"762"	"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME"	6	280	25577	"T48"
"763"	"Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9"	2	235	25577	"T48"
"764"	"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME"	5	154	25577	"T48"
"765"	"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME"	37	154	25577	"T48"
"766"	"Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME"	6	203	25577	"T48"
"767"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation"	6935	150	25577	"T48"
"768"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSA|RequiresSNPConfirmation"	797	150	25577	"T48"
"769"	"Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RRSC|RequiresSNPConfirmation"	518	150	25577	"T48"
